-0.1053,-0.1157,-0.0587,-0.0349,-0.0192,0.0105,0.0618,0.1116,0.1184,0.1360,0.1431,0.1590,0.1421,0.0974,0.0136,0.3656,0.2677,0.2080,0.1840,0.2098,-0.2542,-0.1810,-0.1040,-0.0524,-0.0562,-0.0796,-0.1016,-0.0964,-0.0804,-0.0335,0.0220,0.0663,-0.0203,0.0315,0.0560,0.0967,0.0694,0.0296,-0.0012,0.3676,0.2810,0.2114,0.2003,0.2040,-0.2630,-0.1544,-0.0412,0.0299
-0.0093,-0.0273,-0.0366,-0.0114,0.0048,0.0348,0.0809,0.0867,0.0462,0.0861,0.1242,0.1446,0.1380,0.1049,0.0287,0.3802,0.2979,0.2466,0.2214,0.2442,-0.2285,-0.1476,-0.0749,-0.0224,-0.0248,-0.0391,-0.0665,-0.0574,-0.0488,-0.0225,0.0161,0.0938,-0.0303,0.0616,0.1276,0.1477,0.1223,0.0725,0.0245,0.3942,0.3094,0.2572,0.2380,0.2606,-0.1754,-0.0863,0.0047,0.0181
0.0196,-0.0315,-0.0547,-0.0510,-0.0478,-0.0138,0.0600,0.1420,0.1513,0.1529,0.1670,0.1960,0.1542,0.0994,0.0886,0.5616,0.5449,0.5174,0.5204,0.5551,-0.3031,-0.2305,-0.1793,-0.1188,-0.1694,-0.2223,-0.2302,-0.2137,-0.1862,-0.1577,-0.0935,0.0066,0.0610,0.0611,0.0564,0.0937,0.0542,0.0355,0.0133,0.5370,0.5103,0.4959,0.4950,0.4959,-0.3448,-0.2469,-0.1521,-0.1396
-0.0169,-0.0199,-0.0243,-0.0247,-0.0053,0.0097,0.0446,0.0703,0.0701,0.0853,0.1188,0.1280,0.1097,0.0889,0.0266,0.3555,0.2995,0.2594,0.2355,0.2536,-0.2324,-0.1746,-0.1164,-0.0741,-0.0792,-0.1028,-0.1095,-0.0951,-0.0682,-0.0463,0.0108,0.0600,0.0035,0.0516,0.0881,0.1168,0.0941,0.0518,0.0082,0.3664,0.3009,0.2617,0.2576,0.2724,-0.2227,-0.1529,-0.0663,-0.0136
0.0797,0.0170,-0.0230,-0.0175,0.0001,0.0334,0.0835,0.1373,0.1497,0.1360,0.1382,0.1786,0.1462,0.1046,0.1021,0.5383,0.5476,0.5592,0.5506,0.5424,-0.2986,-0.2466,-0.1886,-0.1254,-0.1535,-0.1782,-0.2065,-0.1858,-0.1615,-0.1099,-0.0428,0.0310,0.0943,0.0782,0.0811,0.1177,0.0748,0.0532,0.0538,0.5560,0.5657,0.5670,0.5661,0.5305,-0.3317,-0.2935,-0.2192,-0.1839
0.0658,0.0450,0.0154,0.0229,0.0442,0.0767,0.1382,0.1877,0.2096,0.2053,0.2233,0.2474,0.2181,0.1970,0.1832,0.5646,0.5860,0.5989,0.6060,0.6030,-0.2588,-0.2052,-0.1550,-0.1240,-0.1535,-0.1627,-0.1577,-0.1314,-0.1058,-0.0859,-0.0610,-0.0263,0.0557,0.0437,0.0470,0.0698,0.0364,0.0133,0.0066,0.5580,0.5741,0.5877,0.5704,0.5780,-0.1876,-0.1109,-0.0783,-0.1425
0.0298,-0.0040,-0.0326,-0.0320,-0.0217,0.0053,0.0441,0.0909,0.1293,0.1337,0.1411,0.1621,0.1494,0.1278,0.1119,0.5001,0.5051,0.5214,0.5032,0.4962,-0.3295,-0.2665,-0.2181,-0.1456,-0.1439,-0.1717,-0.1977,-0.1891,-0.1726,-0.1300,-0.0690,-0.0057,0.0807,0.0852,0.0982,0.1168,0.1040,0.0841,0.0738,0.5203,0.5304,0.5535,0.5631,0.5546,-0.2060,-0.1471,-0.1148,-0.1206
0.0920,0.0775,0.0639,0.0762,0.0940,0.1145,0.1522,0.1760,0.1918,0.1864,0.1889,0.2062,0.1900,0.1907,0.1879,0.5844,0.6332,0.6581,0.6392,0.6268,-0.2533,-0.2067,-0.1650,-0.1168,-0.1321,-0.1332,-0.1403,-0.1250,-0.1137,-0.0573,0.0138,0.0531,0.1202,0.0970,0.0764,0.0730,0.0583,0.0575,0.0670,0.4910,0.5006,0.5095,0.5002,0.5018,-0.3033,-0.2430,-0.1721,-0.1566
0.0079,0.0065,-0.0020,-0.0036,0.0062,0.0329,0.0704,0.0974,0.0757,0.1075,0.1436,0.1407,0.1363,0.1000,0.0581,0.3587,0.2985,0.2612,0.2600,0.2582,-0.1895,-0.1293,-0.0751,-0.0575,-0.1006,-0.1242,-0.1250,-0.1044,-0.0737,-0.0434,-0.0132,0.0364,-0.0161,0.0103,0.0622,0.0807,0.0645,0.0138,-0.0244,0.3183,0.2762,0.2426,0.2226,0.2315,-0.1719,-0.0955,-0.0294,-0.0158
-0.0130,-0.0170,-0.0251,-0.0153,-0.0028,0.0300,0.0722,0.0714,0.0174,0.0648,0.1235,0.1437,0.1329,0.0804,-0.0036,0.3441,0.2777,0.2504,0.2337,0.2510,-0.2016,-0.1296,-0.0870,-0.0454,-0.0750,-0.0800,-0.1006,-0.0940,-0.0613,-0.0430,0.0101,0.0537,-0.0101,0.0232,0.0814,0.1091,0.0893,0.0540,0.0110,0.3307,0.2727,0.2186,0.2088,0.2207,-0.1793,-0.1098,-0.0513,-0.0507
