concat(bus_name,',',hour,',',power)
4,0,0.029474751260579257
4,1,0.018172000550501215
4,2,0.007783323176493573
4,3,0.0024563212172550794
4,4,-0.002345284224825356
4,5,0.0009058568699670047
4,6,0.008455945627217992
4,7,0.010645133617722277
4,8,-0.004788946978614317
4,9,0.010405884398659554
4,10,0.013628455100600914
4,11,0.0237861600559528
4,12,-0.015231176224395085
4,13,-0.025354521644094394
4,14,-0.032964448191592235
4,15,-0.04057935923579397
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
12,0,0.014607834212484884
12,1,0.00860605904220553
12,2,0.004452164647370131
12,3,0.00268711420015616
12,4,-0.0012882284422448785
12,5,0.001199581025327745
12,6,0.0024987599592160258
12,7,0.0041320755730067105
12,8,-0.0031678220268344173
12,9,0.003053011187774027
12,10,0.0033672914848340285
12,11,0.007263475240741682
12,12,-0.0000002738950952985153
12,13,-0.004736878768956562
12,14,-0.012358401775355254
12,15,-0.019974940319950972
12,16,0
12,17,0
12,18,0
12,19,0
12,20,0
12,21,0
12,22,0
12,23,0
