bus_name,hour,power
4,0,0.03094008855596773
4,1,0.022732534263767343
4,2,0.014252285666480886
4,3,0.013480200616820676
4,4,0.01722737622535482
4,5,0.0273673881306246
4,6,-0.002750134909842876
4,7,-0.005500189264282376
4,8,-0.008249964217969646
4,9,-0.010994227512404134
4,10,-0.01298006644122264
4,11,-0.014352892477440414
4,12,-0.015732051396548357
4,13,-0.017108908120562295
4,14,-0.018478208547765728
4,15,-0.019852450052639675
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
12,0,0.014806559213157619
12,1,0.009248667763344981
12,2,0.0051481622929123285
12,3,0.004046535661977359
12,4,0.0011414159695125811
12,5,0.0059596360056474035
12,6,-0.0000003335250702905073
12,7,-0.0000007475452562627219
12,8,-0.0000014409041955508172
12,9,-0.000007645979019516007
12,10,-0.0007722754255793261
12,11,-0.0021499177668325813
12,12,-0.0035212272214970083
12,13,-0.004894838870889423
12,14,-0.006276006816644289
12,15,-0.007652233684249701
12,16,0
12,17,0
12,18,0
12,19,0
12,20,0
12,21,0
12,22,0
12,23,0
