t,meter_12,meter_4
2015-07-01 02:02:00,1497.73,2418.9
2015-07-01 02:03:00,1295.23,1957.33
2015-07-01 02:04:00,1243.04,1548.89
2015-07-01 02:05:00,1255.56,1669.54
2015-07-01 02:06:00,1241.99,1543.69
2015-07-01 02:07:00,1263.88,8158.04
2015-07-01 02:08:00,6919.17,8028.4
2015-07-01 02:09:00,6838.09,13854.2
2015-07-01 02:10:00,6796.5,28478.9
2015-07-01 02:11:00,1269.03,28903.8
2015-07-01 02:12:00,1284.73,16915.2
2015-07-01 02:13:00,1289.95,17082.1
2015-07-01 02:14:00,1283.7,12096.9
2015-07-01 02:15:00,1199.14,12036.9
2015-07-01 02:16:00,1110.4,11943.2
2015-07-01 02:17:00,1127.11,11854.8
2015-07-01 02:18:00,1110.4,11937.1
2015-07-01 02:19:00,1096.87,1817.7
2015-07-01 02:20:00,1131.33,1902.98
2015-07-01 02:21:00,1205.45,1463.31
2015-07-01 02:22:00,1114.59,8158.34
2015-07-01 02:23:00,1129.2,12894.6
2015-07-01 02:24:00,1109.36,12891.0
2015-07-01 02:25:00,1259.66,19745.2
2015-07-01 02:26:00,11141.8,14437.3
2015-07-01 02:27:00,11171.2,8148.55
2015-07-01 02:28:00,11142.3,7945.05
2015-07-01 02:29:00,17568.8,7922.86
2015-07-01 02:30:00,17506.3,7821.6
2015-07-01 02:31:00,17520.6,8106.73
2015-07-01 02:32:00,17328.8,8313.6
2015-07-01 02:33:00,17323.3,11679.3
2015-07-01 02:34:00,17299.7,11545.5
2015-07-01 02:35:00,7478.98,22018.4
2015-07-01 02:36:00,7458.24,21914.6
2015-07-01 02:37:00,7478.68,28451.6
2015-07-01 02:38:00,868.13,22476.5
2015-07-01 02:39:00,1045.65,18032.9
2015-07-01 02:40:00,1016.41,17883.8
2015-07-01 02:41:00,1001.76,27564.8
2015-07-01 02:42:00,854.525,30733.5
2015-07-01 02:43:00,742.812,20843.9
2015-07-01 02:44:00,738.635,20935.5
2015-07-01 02:45:00,783.542,21057.6
2015-07-01 02:46:00,788.764,21145.1
2015-07-01 02:47:00,810.694,21187.8
2015-07-01 02:48:00,791.896,21537.3
2015-07-01 02:49:00,6404.11,21503.1
2015-07-01 02:50:00,6384.67,16470.8
2015-07-01 02:51:00,6507.07,7122.93
2015-07-01 02:52:00,9807.72,13586.3
2015-07-01 02:53:00,16568.5,9018.71
2015-07-01 02:54:00,16508.8,8438.21
2015-07-01 02:55:00,7782.04,8620.17
2015-07-01 02:56:00,7783.41,2113.63
2015-07-01 02:57:00,7677.5,6968.97
2015-07-01 02:58:00,7676.47,6812.75
2015-07-01 02:59:00,7741.75,7816.9
2015-07-01 03:00:00,7773.89,7699.87
2015-07-01 03:01:00,7809.13,7876.82
2015-07-01 03:02:00,11086.7,2282.08
2015-07-01 03:03:00,11096.4,13655.3
2015-07-01 03:04:00,11084.0,13853.1
2015-07-01 03:05:00,11092.8,20640.6
2015-07-01 03:06:00,11099.8,22194.0
2015-07-01 03:07:00,11267.1,22822.8
2015-07-01 03:08:00,11249.5,22877.7
2015-07-01 03:09:00,11254.7,22769.9
2015-07-01 03:10:00,11254.0,32405.6
2015-07-01 03:11:00,11138.2,19275.6
2015-07-01 03:12:00,1223.13,19338.8
2015-07-01 03:13:00,1213.73,18956.2
2015-07-01 03:14:00,1447.49,28544.7
2015-07-01 03:15:00,16701.4,28409.2
2015-07-01 03:16:00,16676.0,33178.5
2015-07-01 03:17:00,16674.5,33070.3
2015-07-01 03:18:00,7998.46,37903.4
2015-07-01 03:19:00,8003.79,33046.5
2015-07-01 03:20:00,7781.36,25289.1
2015-07-01 03:21:00,7803.49,18552.3
2015-07-01 03:22:00,7740.66,33768.3
2015-07-01 03:23:00,7743.77,33624.6
2015-07-01 03:24:00,13241.1,24265.1
2015-07-01 03:25:00,6536.33,21368.7
2015-07-01 03:26:00,6544.12,21068.0
2015-07-01 03:27:00,1001.78,21193.9
2015-07-01 03:28:00,993.432,21022.9
2015-07-01 03:29:00,997.597,25835.3
2015-07-01 03:30:00,991.332,25833.0
2015-07-01 03:31:00,990.288,25713.7
2015-07-01 03:32:00,989.255,21231.5
2015-07-01 03:33:00,991.321,27616.4
2015-07-01 03:34:00,1047.71,24575.9
2015-07-01 03:35:00,1152.15,15185.0
2015-07-01 03:36:00,1143.8,15052.8
2015-07-01 03:37:00,11059.8,19936.1
2015-07-01 03:38:00,26197.2,19817.7
2015-07-01 03:39:00,26090.2,22911.0
2015-07-01 03:40:00,26081.0,18007.4
2015-07-01 03:41:00,17526.7,17937.2
2015-07-01 03:42:00,17514.0,22501.1
2015-07-01 03:43:00,17510.9,22297.7
2015-07-01 03:44:00,17517.0,23151.9
2015-07-01 03:45:00,17527.3,23188.1
2015-07-01 03:46:00,7518.55,16657.5
2015-07-01 03:47:00,7484.51,11168.0
2015-07-01 03:48:00,1011.19,17957.3
2015-07-01 03:49:00,1088.49,8285.06
2015-07-01 03:50:00,1108.33,8402.77
2015-07-01 03:51:00,1120.86,9008.01
2015-07-01 03:52:00,10903.0,18727.3
2015-07-01 03:53:00,10992.3,12359.2
2015-07-01 03:54:00,11008.6,16931.4
2015-07-01 03:55:00,10995.1,17066.6
2015-07-01 03:56:00,16464.3,21681.1
2015-07-01 03:57:00,16446.8,26661.8
2015-07-01 03:58:00,16441.3,21809.1
2015-07-01 03:59:00,10919.3,21498.5
2015-07-01 04:00:00,25904.8,21869.9
2015-07-01 04:01:00,25893.4,28231.6
2015-07-01 04:02:00,17578.8,18925.0
2015-07-01 04:03:00,17520.6,25403.2
2015-07-01 04:04:00,7696.09,25556.1
2015-07-01 04:05:00,7672.76,34813.1
